RUBRICA ITEM1;-;-;-;;
i;i < 21;console.log(i);i++;;
1;1<21=TRUE;1;1+1=2;;
2;2<21=TRUE;2;2+1=3;;
3;3<21=TRUE;3;3+1=4;;
4;4<21=TRUE;4;4+1=5;;
...;...;...;...;;
20;20<21=TRUE;20;20+1;;
21;21<21= FALSE;!;!;;
;;;;;
RUBRICA ITEM 2;-;-;-;;
i;i<=20;i % 2==0;console.log (i);i++;
1;1<=20=TRUE;1 %2==0 FALSE;!;1+1=2;
2;2<=20= TRUE;2%2==0 TRUE;2;2+1=3;
3;3<=20=TRUE;3%2==0 FALSE;!;3+1=4;
4;4<=20= TRUE;4%2==0 TRUE;4;4+1=5;
...;...;...;...;...;
20;20<=20= TRUE;20%2==0 TRUE;20;20+1=21;
21;21<=20= FALSE;!;!;!;
;;;;;
RUBRICA ITEM 3;-;-;-;-;
i;" i<=20";i  %  2 != 0;console.log(i);i++;
1;1<=20=TRUE;1 % 2 != 0= TRUE;1;1+1=3;
2;2<=20= TRUE;2 % 2 != 0= FALSE;!;2+1=3;
3;" 3<=20=TRUE";3 % 2 !=0= TRUE;3;3+1=4;
4;4<=20= TRUE;4 % 2 !=0= FALSE;!;4+1=5;
...;...;...;...;...;
20;20<=20= TRUE;20 % 2 !=0= FALSE;!;20+1=21;
21;21<=20= FALSE;!;!;!;
;;;;;
RUBRICA ITEM 4;-;-;-;-;
fator = 5;i;i*fator;i*fator<=100;console.log(i*fator);i++
5;1;1* 5 =5;5<=100=TRUE;5;1+1=2
5;2;2*5=10;10<=100=TRUE;10;2+1=3
5;3;3*5=15;15<=100= TRUE;15;3+1=4
5;4;4*5=20;20<=100= TRUE;20;4+1=5
...;...;...;...;...;...
5;20;20*5=100;100<=100= TRUE;100;20+1
5;21;21*5=105;105<=100=FALSE;!;!
;;;;;
RUBRICA ITEM 5;-;-;-;-;-
expo=2;i;i**expo;i**expo<=100;console.log (i**expo);i++
2;1;1**2=1;1<=100= TRUE;1;1+1=2
2;2;2**2=4;4<=100= TRUE;4;2+1=3
2;3;3**2=9;9<=100= TRUE;9;3+1=4
2;4;4**2=16;16<=100= TRUE;16;4+1=5
...;...;...;...;...;...
2;10;10**2=100;100<=100= TRUE;100;10+1=11
2;11;11**11=121;121<=100= FALSE;!;!
;;;;;
RUBRICA ITEM 6;-;-;-;-;-
i;i > -1;console.log(i);i--;;
20;20> -1+ TRUE;20;20-1=19;;
19;19> -1 TRUE;19;19-1=18;;
18;18> -1= TRUE;18;18-1=17;;
17;17> -1= TRUE;17;17-1=16;;
...;...;...;...;;
0;0> -1= TRUE;0;0-1=-1;;
-1;-1> -1= FALSE;!;!;;
...;...;...;...;;
;;;;;
RUBRICA ITEM 7;;;;;
i;i > -1;i % 2==0;console.log (i);i--;
20;20 > -1= TRUE;20 % 2==0= TRUE;20;20-1=19;
19;19>-1= TRUE;19 % 2==0= FALSE;!;19-1=18;
18;18>-1=TRUE;18 % 2==0 TRUE;18;18-1=17;
17;17>-1= TRUE;17 % 2==0= FALSE;17;17-1=16;
...;...;...;...;...;
0;0>-1= TRUE;0 % 2 ==0 TRUE;0;0-1=-1;
-1;-1>-1=FALSE;!;!;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
